x-axis,1,,,,,,,,
second,Volt,,second,Volt,uA,,,,
-3.28E-03,7.29E-02,,0.00249,0.3115578,3.11558E-07,3.02764E-12,,,
-3.27E-03,7.04E-02,,0.0025,0.2939699,2.9397E-07,2.95226E-12,,,
-3.26E-03,7.29E-02,,0.00251,0.2964824,2.96482E-07,3.05276E-12,,,
-3.25E-03,7.29E-02,,0.00252,0.3140704,3.1407E-07,3.32915E-12,,,
-3.24E-03,7.29E-02,,0.00253,0.3517588,3.51759E-07,3.44221E-12,,,
-3.23E-03,7.04E-02,,0.00254,0.3366834,3.36683E-07,3.44221E-12,,,
-3.22E-03,7.29E-02,,0.00255,0.3517588,3.51759E-07,3.44221E-12,,,
-3.21E-03,7.04E-02,,0.00256,0.3366834,3.36683E-07,3.45477E-12,,,
-3.20E-03,7.29E-02,,0.00257,0.3542714,3.54271E-07,3.55528E-12,,,
-3.19E-03,5.53E-02,,0.00258,0.3567839,3.56784E-07,3.64322E-12,,,
-3.18E-03,7.29E-02,,0.00259,0.3718593,3.71859E-07,3.73116E-12,,,
-3.17E-03,7.04E-02,,0.0026,0.3743719,3.74372E-07,3.74372E-12,,,
-3.16E-03,7.29E-02,,0.00261,0.3743719,3.74372E-07,3.74372E-12,,,
-3.15E-03,7.29E-02,,0.00262,0.3743719,3.74372E-07,3.74372E-12,,,
-3.14E-03,7.29E-02,,0.00263,0.3743719,3.74372E-07,3.84422E-12,,,
-3.13E-03,7.29E-02,,0.00264,0.3944724,3.94472E-07,3.85678E-12,,,
-3.12E-03,5.53E-02,,0.00265,0.3768844,3.76884E-07,3.86935E-12,,,
-3.11E-03,9.05E-02,,0.00266,0.3969849,3.96985E-07,3.85678E-12,,,
-3.10E-03,7.29E-02,,0.00267,0.3743719,3.74372E-07,3.84422E-12,,,
-3.09E-03,7.29E-02,,0.00268,0.3944724,3.94472E-07,4.04523E-12,,,
-3.08E-03,7.04E-02,,0.00269,0.4145729,4.14573E-07,4.05779E-12,,,
-3.07E-03,5.53E-02,,0.0027,0.3969849,3.96985E-07,4.14573E-12,,,
-3.06E-03,7.29E-02,,0.00271,0.4321608,4.32161E-07,4.33417E-12,,,
-3.05E-03,5.53E-02,,0.00272,0.4346734,4.34673E-07,4.25879E-12,,,
-3.04E-03,7.29E-02,,0.00273,0.4170854,4.17085E-07,4.25879E-12,,,
-3.03E-03,7.29E-02,,0.00274,0.4346734,4.34673E-07,4.3593E-12,,,
-3.02E-03,7.54E-02,,0.00275,0.4371859,4.37186E-07,4.37186E-12,,,
-3.01E-03,5.53E-02,,0.00276,0.4371859,4.37186E-07,4.44724E-12,,,
-3.00E-03,5.53E-02,,0.00277,0.4522613,4.52261E-07,4.43467E-12,,,
-2.99E-03,7.29E-02,,0.00278,0.4346734,4.34673E-07,4.34673E-12,,,
-2.98E-03,7.29E-02,,0.00279,0.4346734,4.34673E-07,4.3593E-12,,,
-2.97E-03,7.29E-02,,0.0028,0.4371859,4.37186E-07,4.37186E-12,,,
-2.96E-03,5.53E-02,,0.00281,0.4371859,4.37186E-07,4.54774E-12,,,
-2.95E-03,7.29E-02,,0.00282,0.4723618,4.72362E-07,4.63568E-12,,,
-2.94E-03,5.53E-02,,0.00283,0.4547739,4.54774E-07,4.54774E-12,,,
-2.93E-03,7.29E-02,,0.00284,0.4547739,4.54774E-07,4.63568E-12,,,
-2.92E-03,5.78E-02,,0.00285,0.4723618,4.72362E-07,4.73618E-12,,,
-2.91E-03,7.29E-02,,0.00286,0.4748744,4.74874E-07,4.64824E-12,,,
-2.90E-03,5.53E-02,,0.00287,0.4547739,4.54774E-07,4.5603E-12,,,
-2.89E-03,7.29E-02,,0.00288,0.4572864,4.57286E-07,4.57286E-12,,,
-2.88E-03,7.29E-02,,0.00289,0.4572864,4.57286E-07,4.6608E-12,,,
-2.87E-03,9.05E-02,,0.0029,0.4748744,4.74874E-07,4.83668E-12,,,
-2.86E-03,5.28E-02,,0.00291,0.4924623,4.92462E-07,4.92462E-12,,,
-2.85E-03,7.54E-02,,0.00292,0.4924623,4.92462E-07,5.03769E-12,,,
-2.84E-03,7.04E-02,,0.00293,0.5150754,5.15075E-07,5.06281E-12,,,
-2.83E-03,9.05E-02,,0.00294,0.4974874,4.97487E-07,5.05025E-12,,,
-2.82E-03,7.29E-02,,0.00295,0.5125628,5.12563E-07,5.13819E-12,,,
-2.81E-03,5.53E-02,,0.00296,0.5150754,5.15075E-07,5.16332E-12,,,
-2.80E-03,7.29E-02,,0.00297,0.517588,5.17588E-07,5.15075E-12,,,
-2.79E-03,7.29E-02,,0.00298,0.5125628,5.12563E-07,5.13819E-12,,,
-2.78E-03,7.04E-02,,0.00299,0.5150754,5.15075E-07,5.15075E-12,,,
